"","Score","Matched Startup","Describe.your.startup.","What.stage.is.your.product.in.","Specify.what."
"35",0,"Alpha Institute Berlin","Intensive language courses from 3-6 days, for beginners to business level that need to improve fast a language for job. For privates and companies","Product Launched","I'm looking for investors that helps me grow up my business beginning with Berlin and after that in the big cities of Germany."
"36",0,"Letos","Letos is looking to solve the next big challenge for Artificial Intelligence to tackle - predicting user behavioral reactions. Through usage of an innovative biosensor solution, coupled together with advanced Machine Learning techniques, Letos allows for capturing of true spontaneous emotion reaction","Prototype Built","Seed round; Pilot projects"
"37",0,"Meisterwerk","PropTech
 
 Meisterwerk is a digital assistant, that enables construction companies to manage more jobs in less time.","Prototype Built","Angel Investments and early stage VC investments, cooperations with relevant retail and wholsales companies"
"38",0,"be on track","We are a young startup with the vision: One missing person is one to much! We will protect the dementia people with an outgoing trend so that the relatives know where they went to.","Prototype Built","To build the prototype, to build a huge tracking market place, for HR costs, for marketing"
"39",0,"Magnitude Internet GmbH","With paul, the digital assistant, we are solving the last mile problem while traveling as one up to many persons.","Product Launched","Series A round with up to €1.5m"
"40",0,"IF WHEN THEN","Our mission: To organize the world’s non formal education programs for an evolving job marketplace.
 Vision: To become the company most well known for changing the global perception of non formal education
 Core Purpose: to facilitate global employment outcomes in non formal education","Prototype Built","Pre-seed"
"41",0,"Bands","Bands is a community rock band program for amateur musicians. We match people based on their level of playing, team them with professional musical mentor and schedule weekly rehearsals in a professional studio. 
 
 The registration is online, and the participants sign up for 4 months cycles.","Product Launched","Looking for ways to scale our business."
"42",0,"Shoppi","Shoppi is a content-first marketplace driven by personalization.","Product Launched","Pre-seed"
"43",0,"DajaEx","e-commerce","Product Launched","."
"44",0,"findu.online UG","A qualitative Online Platform for Restaurants and Bars with included moderated Content, especially Videos, done by us. Locations have a controlled online environment with transparent Marketing possibilities. Users have a better user experience by seeing true videos and pictures","Product Launched","Investment for Marketing and Workers"
"45",0,"LunchPoint","Automated Marketing Software as a SaaS which enables SME to attract, retain customers for a flat monthly fee","Product Launched","Accelerator programs"
"46",0,"Vouchery.io","When overwhelmed with promo deals, customers lose a sense of urgency, disengage, and often devalue brands. Vouchery prevents that, using the power of machine learning & predictive analytics to personalize promotions based on customers’ lifetime value, their level of engagement, and their unique preferences. Ultimately, our mission is to incentivize each Customer the right way, creating meaningful interactions.","Prototype Built","We're looking to raise a seed capital"
"47",0,"HealthPhy","We present a promotion, prevention and rehabilitation APP for every person who needs help before or after to get an injury. We help to promote the ability to move, reduce pain, restore function, improve mobility to carry out activities of daily life and reduce the need for use of prescription medications just through PHYSICAL EXERCISE. The App give them a long/medium/short term health benefits, teaching how to prevent or manage their condition.
 
 This app include oriented programs for each user to develop a plan taking into account the characteristics of each individual.
 * Prevention to the onset of symptoms and progression of functional limitations after an injury or specifics diseases.
 * A check list questionnaire and a general diagnostic of movement dysfunction of the most COMUN problems.
 * Improve the physical abilities with a complete follow up plan for the rehabilitation, including specific videos exercises and advice created from our experts based in scientific facts. 
 * Promote and maintain physical function and wellness to improve the movement, health and at the same time improve the optimal quality of life styles.","Prototype Built","Get connections in Berlin for invest or healthcare enviroment"
"48",0,"Lingoset","The app uses data from language pairings in order to accurately predict and diagnose each learner’s weaknesses so that the app can provide a highly targeted training solution for busy professionals who want to further improve their advanced English.","Product Launched","Funds to support the integration of machine learning, native app development and new language pairs."
"49",0,"---","----","Idea","-----"
"51",0,"MyStudyGenius","MyStudyGenius combines a contact manager, course planner, calendar and finance module in one simplified solution. With MyStudyGenius educators don't have to use 3 different tools to organise their courses, but instead have a better overview and save time. Educators will be instantly more productive after setting up their profile.","Prototype Built","Networking"
"52",0,"IoT Venture","IoT Venture GmbH connects things with the Internet which where - from a financial and technological perspective - not connectable before.
 The company is focusing on Low-Power Wide-Area Networks (LPWAN), particularly NB-IoT (narrowband Internet of Things).
 IoT Venture GmbH's services include the development of hardware and software (embedded systems), provision of the necessary data platform (cloud solution) and developing new digital business models","Product Launched","We are looking for investor's supporting additional verticals"
"53",0,"BOTE","BOTE is smart shoe`s insole to keep small children safe and let parents have peace of mind.","Prototype Built","Getting investment"
"54",0,"VeryClothe","We are creating a mobile marketplace for offline fashion shopping and rental. Our vision is to treat local brick and mortar retail as a unified warehouse. VeryClothe is a solution that: A. Helps shoppers to find unique local fashion: places (shops) and items (clothes and accessories). B. Brings foot traffic to retailers and gives them tools to provide real time personalized service. C. Creates a sustainable fashion rental infrastructure.","Prototype Built","We are interested in getting investment or into an accelerator program as well as building connections with apparel and accessories retailers."
"56",0,"Design IT Legal","Holistic approach to digital privacy","Prototype Built","receiving feedback"
"57",0,"Strayos","Strayos is a 3D visual intelligence platform using AI and drones to reduce cost and improve efficiency in jobsites","Product Launched","Fundraising"
"58",0,"Life Consulting Through Psychometrics","Deliver workshop in career, relationship, life transformation based on personality and psychometrics","Product Launched","scale up the business"
"59",0,"VISIOFARM","VISIOFARM is developing unique IoT decision support system that fuses cows telemetry, events and diseases prediction analytics, and collaborative engagement of farmer and vets.
 
 We deployed inertial sensors hardware and low power wireless technology leveraging web application and integrated these with cloud based unique feature for collaborative engagement of farmers and vets to track, analyze, alert, intervene, learn, refine and share their practices when cow health issues and events arise in real time.","Prototype Built","To secure next round of financing, in order to get commercialized product."
"60",0,"Flowletics","We all experience a variety of mental distractions and emotional distress in our work days that prevent us from finding the motivation, focus and energy to perform at our best and use our time productively. If we want to experience more flow - the state where we are able to unleash our potential while feeling at ease - we believe that we have to start training our mental and emotional fitness the same way we train our physical bodies. With Flowletics we’re developing the digital flow coach in your pocket that uses personalization, gamification and measurability to provide the long-term motivation that is necessary to establish a regular mental fitness training routine.","Prototype Built","Networking with all of the above"
"61",0,"Hupaka","Mobile App","Prototype Built","raise capital to start in berlin"
"63",0,"Not decided yet","Meet in town is a new way to arange meetings. We calculate a central meeting point from your input addresses. Based on personal preferences, means of transportation and realtime traffic data, we will show you the shortest way to get there. You simply pick a place to meet from multiple recommendations. Save time and energy and get together with Meet in town.","Prototype Built","Investment to be able to continue the product vision. Accelerator to get the word spread."
"64",0,"Dochka","Our mission is making films to reflect the plurality of the world from an empathetic perspective.
 
 We shape social topics though experimental narratives, assuming aesthetical challenges.
 
 Our tools are creativity and honesty.
 
 
 We're a group of compromised producers, artists and technicians, who believe that empowering positive-critical thinking is basic for a healthy society.
 
 
 Everything we produce serves the pulse of this values.
 
 We are helped out by local & international talents based in Berlin.
 
 We are compromised with social and environmental causes.
 
 As it is fairly important to get back the equilibrium to the current situation.
  
 
 ​","Product Launched","Pitch a Documentary Feature Project"
"65",0,"Pretty Deadly Self Defense","Accessible, effective self defense system designed by women, for women. PDSD phone app is the technology extension of an already functional live program of courses and classes established in 2009.","Idea","Angel or SAFE investments to build app; seeking 500k"
"66",0,"inscube","Communities are the core of a meaningful social life. Curiosities, Conversations, Talents, Ideas and Questions shape them. A social media does not necessarily have to be a platform to share pictures, videos or articles as there is something, which is essential for a meaningful social life - communities. 
 Inscube is an alternate media with the mission of ‘CREATING A BETTER SOCIAL WORLD TOGETHER’ with communities at its core. The world is united by communities with like-minded people irrespective of the location, religion, gender, culture, etc.. That’s why we have created a platform exclusively for communities, for people to come together for a cause, initiative meaningful conversations, ask curious questions, share ideas or express their talents.","Product Launched","investments"
"67",0,"Advertizing in Cars","We bring advertizing in Cars","Idea","Feed investment"
"69",0,"Share your lessons","Platform for sharing learning lessons","Idea","Platform for learning lessons all type"
"73",0,"Traceitup","TraceItUp helps restaurants to reduce operational costs and increase sales by making their food delivery a better customer experience.
 
 Despite the increasing market in food delivery, most restaurants are still unable to control and track their couriers. Therefore, in case of a minor hick up in the delivery process, that leads to a delay, restaurants are uncapable to provide information to their customers. And a hungry unhappy customer, waiting for the food delivery, calls the restaurant multiple times, disrupting the restaurants operations. That customer is also very likely to give a bad review that will have a direct negative impact on restaurants sales. 
 
 Actually, we don't only let restaurants offer better customer experience, but we also keep track of their delivery data, and provide insights about their couriers and customers. 
 Furthermore keeping all this data, will let us apply personalized AI marketing to each customer of each restaurant.","Product Launched","meeting with the right contacts to make the abroad expansion faster."
"75",0,"SkillYoga","The first video based yoga training for men. Based in Berlin. Available everywhere and anytime.","Product Launched","We aim to raise for our Seed Investment"
"76",0,"Liveduel","Live streaming and live interaction platform","Prototype Built","Eating cool people"
"77",0,"EduBaba","Education","Prototype Built","Learning"
"79",0,"Beazy","Beazy is a peer-to-peer marketplace where anyone can share what they already do or own with others and make a profit from it.
 
  Deliveries are Beazy's backbone, users make their daily trips profitable by delivering a package on their way. Packages delivered include any belongings or creations users sold or rented through the app. Beazy's goal is to become the Amazon of the sharing economy, one app to access all existing services, no matter where you are.","Prototype Built","Since we're just arriving in Berlin from Switzerland Accelerators and Incubators are our priority in order to build our network in Berlin."
"80",0,"myProfashional","myProfashional represents a promising and scalable start-up business at the intersection of fashion and technology.
 
 We enable consumers desiring individual and unbiased shopping assistance to connect with credible and independent peers capable of, and motivated to, provide honest advice face-to-face.
 
 Our mission is to create satis-fashion and to leave every shopper happy and well-dressed while giving fashion enthusiasts, stylists, and influencers (we call them collectively ""Profashionals""​) the opportunity to earn money by sharing their passion.
 
 The p2p-marketplace, www.myprofashional.com, makes it easy for shoppers and Profashionals to get in touch and to meet each other personally for a joint shopping trip at the time and location of their choice.
 
 myProfashional AG was founded in August 2018 in Zurich by four dedicated people who comprise a persuasive mix of competences ranging from business management skills and expertise in the areas of quantitative economics and financial engineering to proven experience in on- and offline marketing.","Product Launched","Growing a coomunity, attracting early-adopters / first-users"
"82",0,"MrGuardian","It is nearly impossible to go to work, run daily errands and to look after whole the family at the same time...
 
 MrGuardian is a B2C mobile application delivers the next generation AI-based solution for people making the daily lifestyle easier...
 
 - Remote care for family matters
 - Easy and fast way to manage the daily errands","Product Launched","1.5M"
"83",0,"Hominems","We are an international fashion platform that sells a selection of independent, wearable electronics or smart garments and produces its own products.","Prototype Built","Pre-seed"
"84",0,"3dots","3dots is a social fitness app where you can create and find health content out of the areas diet, exercise and mindfulness.","Product Launched","Series A"
"85",0,"MOROMI","Optimization of electric charging for fleet companies","Idea","Finding Partners"
"86",0,"Leafpi","Design & manufacture of energy producing hardwares from renewable sources (wind, sun, etc.) targeted for urban environment","Idea","Renewable Energy"
"87",0,"Niche Tourism","Exclusively Gay and 100% Gay Friendly Accommodation Booking Platform","Prototype Built","Seed or Series A"
"89",0,"clickback.io","clickback.io is a platform with which you can create, manage and track complete QR code campaigns in just a few minutes.","Prototype Built","We want to get a fund from by the end of the year to improve speed."
"90",0,"Mutees","We empower musicians to make money by connecting their music with cool products","Prototype Built","Investment and networking"
"91",0,"SCROOSER","The SCROOSER combines E-Scooting with the feeling of cruising. It's pollution-free, street-legal, pure riding joy and outstanding designed - Made in Germany!","Product Launched","we want to develop the next model ""SCR 2.0"" with even better features (e.g. connectivity) and to step into international markets."
"92",0,"Qpick","AdTech for small retailers","Product Launched","N/A"
"93",0,"Wavy","Wavy is a service provider for the yacht charter market. It develops products for charters, platforms and customers.","Product Launched","Network and Investment"
"94",0,"Ebru Berkiden","„Where Couture meets Ready-to-Wear“
 Ebru Berkiden is a Berlin-based high-quality, where couture meets ready-to-wear, Prêt-á-Couture fashion brand founded in 2018 by the designer Ebru Berkiden after she graduated from ESMOD in Berlin.
 Ebru Berkiden defined by it's fusion of craftsmanship and love to details and works exclusively with high-quality materials. Her pieces unite clear cuts with fetish elements, experimenting with sharp contrasts and the love to mix the soft with the hard. The designs are brash but not intrusive, it's understated elegance, casual, feminine and a lot of grunge. She creates an interplay between Haute Couture and luxurious ready-to-wear with her own notably extravagant aesthetic.","Product Launched","Everything which helps me to get further with my company"
"98",0,"BillionIdea w/o name","Tecj solution to get municipal control about fine dust and emissions produced by all kind of vehicles in areas with high Air Quality Index (AQI).","Idea","none"
"99",0,"Intelory","Intelory provides IoT connectivity and software solutions for smart industrial and commercial devices. 
 
 Our first product, ConnectedMarina is an end-to-end software solution for marina operators (harbours) and their customers (boaters) powered by IoT technology. We connect power and water pedestals in marinas to the cloud in order to enable functionalities such as: bookings, self service, mobile payments, remote monitoring and control, as well as efficient device maintenance. 
 
 The solution consists of readily available hardware components (small industrial computers and I/O devices) and software purposely built by Intelory. The product is intended for marina operators and will be sold to the end-customer together with channel partners, who manufacture and assemble the utility pedestals. We developed a Proof of Concept in June 2018 and a prototype in August 2018. Our prototype is currently being tested by potential customers in the Mediterrenean.","Prototype Built","We are interested in building partnerships with additional channel parters (pedestal manufacturers) as well as getting investments to launch our product."
"100",0,"XtayPro","XtayPro is a sharing economy platform for the transportation of small and medium-sized parcels by utilizing the spare luggage space of travelers: connecting international travelers with people at destination, who are in need of items or products not available locally, enabling the travelers to reduce travel cost while helping out others at destination, and making new friends in the process, meeting the demand of local market and grant local people access to products that are not available or expensive in their country. XtayPro with our innovative platform is going to disrupt market, globally and locally and will further push the globalization of products by tapping into the huge unused space of travelers'​ suitcase.","Product Launched","Seeking Investors and Partners"
"101",0,"Tutor Platform","B2B SaaS platform to run training centre focused on language teaching with machine assisted language teaching tools.","Product Launched","Getting investment"
"102",0,"EngageLabs / Crove","We are a Berlin-based IoT / hardware startup in FashionTech. We want to fix the broken human-machine-interaction and developed a glove to easily interact with technology - while letting it look like magic!","Prototype Built","Angel / Seed-Investment"
"104",0,"aitongue","We are working on a non-invasive, continuous and convenient metabolic parameters monitoring service, for parameters such as blood glucose, ketones lactate etc. The service is based on two pillars: 
 
 a) the wearable: Our electronic tongue is a patented sensor arrangement that models a biological tongue (cooperation with a scientist, scientific proven method and operation, existing patents). The sensor creates a characteristic fingerprint of the measured object (skin). Used on different regions of human skin this technology allows us to distinguish between different metabolic states and make predictions about metabolic parameters. 
 
 b) machine learning: As well as a biological tongue is not able to classify a certain taste appropriately without a trained neural network – the brain - our electronic tongue has to do the same. A single measurement is worthless without a strong knowledge set behind. Deep learning technology enables us to cluster incoming datasets, classify different metabolic states and predict metabolic parameters. 
 
 At the moment, there is no non-invasive, continuous, small and convenient monitoring service for such parameters out there. Our service gives our customers real-time insights regarding their metabolic status in order to improve training results and enhance health.","Prototype Built","Seed-Investment"
"106",0,"Deal Factory","SALES OUTSOURCING, SALES TRAINING, SALES CONSULTING","Idea","sales"
"108",0,"re2you gmbh","Re2you is a cloud browsing platform that unites all your devices in one connected ecosystem, allowing you to drag and drop content and apps between all devices. We offer a B2B solution for car producers and mobility providers (car sharing, on-board entertainment) to provide a hardware-agnostic, OS-independent connected platform and integrate the device into a user’s entire digital ecosystem.","Product Launched","as mentioned above-"
"109",0,"BioID","A platform to connect freelancer scientists to businesses via smart contract of Ethereum to investigate the environmental samples that the businesses are dealing with, like the water quality or bugs in a farm or fish farm to identify the exact species that they have in their samples.","Idea","To build-up the startup"
"111",0,"Placeme","Placeme is an online tool that enables predict potential sales at specific address. We help retail and dining networks to uncover where they should sell their products and how much they can sell at specific address. 
 
 Thanks to placeme, managers responsible for expansion, sales and performance can easily get to know information that help them to improve performance of the whole network. 
 
 Combination of big data, machine learning, data science and our geoanalytical engine gives unique value that helps managers with finding perfect places for new stores, increase profitability in already existing stores or find perfect locations where your products will achieve best sales.","Product Launched","We believe that thanks to Investors Day we will be able to connect with potential investors as we are preparing a seed round of 500k EUR early next year"
"112",0,"Leafpi UG","Design & manufacture of energy producing hardwares","Idea","New talents"
"113",0,"Niche Tourism","The Exclusively Gay and 100% Gay Friendly Places To Stay Platform","Prototype Built","Comparing Start Up Valuations"
"115",0,"Toolang","Web platform for simple and smart(automated) tranlsation of multilingual application during development. Developer will use this so he could be more focused on creating new features.","Prototype Built","We need accelerator program and investment in that specific program"
"116",0,"Green Wave","Green Wave is the first intelligent, automated and predictive traffic control system. Built to improve the air in the city, actively reduce recurring or spontaneous traffic jams and minimize drivers' stress that leads to traffic accidents (36 dead in Berlin 2017, 145.000 accidents overall), Green Wave lets people drive where it's possible and greatly reduces standing minutes that consume valuable time (39 hours/person/year wasted) and gas (69 liters/car/year wasted). Based on Big Data, AI, ML and IoT and engineered by highly experienced people, we will make city traffic as fluent and ecological as it can ever be.","Idea","Finding partners who can help us overcome bureaucratic hurdles and get started quickly."
"117",0,"CargoCoin","CargoCoin is a B2B marketplace platform for the whole transport industry. It links the maritime shipping, inland transportation and air cargo through the blockchain and the smart contracts.","Idea","Investments, corporate relations, media coverage"
"118",0,"Ozon cyclery","A webshop for bamboo bike building supplies","Prototype Built","Finding a finance expert to helü w finance plan"
"120",0,"qtecsmarttechnology UG","IoT smart home hardware and software","Prototype Built","vc"
"124",0,"amavido","amavido is an exciting new travel experience that combines the innovation of an online platform with the personal human approach of a travel agency. We create individual and tailor-made travel offers out of the beaten path, with authentic experiences in undiscovered areas. This is done through the interaction of an intelligent IT system and the expertise of our travel experts supported by the local knowledge of our hosts. Thus we guarantee competent and personal service with scalability of the offering.","Product Launched","Were looking for equity investors and crowdlending-investors as well as media coverage for our ongoing funding campaign at fundernation.eu/investments/amavido"
"125",0,"Goodbye Bread","We’re building the online fashion destination for the next generation of consumers. 
 We have a strong Digitally Native Vertical Brand with a competitive and defensible business model. 
 
 While traditional brands have trouble appealing to our audience we’ve built a cult following! Powered by a young and influential female founder and backed by an experienced team, we’re getting ready to give Zara, H&M and other industry players a major run for their money….
 
 It all started by trying to solve a personal pain point. Bored from the dull fashion offerings and uninspiring brand content, we embarked on a mission to empower girls around the world to wear whatever they want and make them stand out from the herd. Who wants to just fit in anyway?","Product Launched","5MM-10MM"
"126",0,"Perto GmbH","Perto is an energy efficiency service provider which helps people save energy and money by replacing inefficient electrical equipment.","Product Launched","Networking"
"127",0,"myProfashional AG","Peer-to-peer marketplace for personal shopping.","Product Launched","Min. 500k"
"128",0,"retle_X_tions","Using artificial intelligence the goal is to help people become more aware of their emotional and mental state and to be able to avoid situations such as burnout, depression, etc. Helping people help themselves - empowerment!","Idea","More information and contacts"
"129",0,"Foodly","Foodly is the new way of online grocery shopping. In the Foodly app you find delicious recipes and order all ingredients with just 1 click! It is totally flexible: you decide how many dishes you want, you can leave ingredients out and order only the ones you really need. On top of that you put all the things you run out of, like beverages, washing powder or toothpaste. Local supermarkets will do the delivery and bring everything conveniently to your doorstep. The smart thing about Foodly is that the recipe recommendations do not only fit your food preferences but also the ingredients in your cart and the groceries you might already have at home. With Foodly your grocery shopping and cooking is not only more fun, but also more sustainable!","Product Launched","Getting in contact with Business Angles as well as potential partners."
"130",0,"Agora Sophia","Rethinking primary education and the future of our kids","Idea","R&D investment needed"
"131",0,"Crona","The platform for ordering in a restaurant by connecting waiters and guests digitally.","Prototype Built","Raise funding."
"132",0,"Curet","An All-In-One digital platform for the elderly care (Pflege) industry in Germany. We have to aim of combining all alls aspects of elderly care into one platform, making it easier to find the ideal care for yourself or your loved ones. Users can search for nursing homes, agencies and caregivers, they can view information about them, rate them/see ratings,
 contact them and more. We also have an integrated job platform for all Care related jobs in Germany.","Product Launched","Investments and Contacts"
"133",0,"Chatbot Network","We improve organizations management and internal communication using chat-bots.","Prototype Built","We are looking for pre-seed investment"
"135",0,"HRident","digitalize efficient ident process realtime","Prototype Built",".."
"136",0,"ON AND OFFER","In times of “War for Talents” – what if I tell you, that there is no real lack of talent?
 And what if I tell you, that the recruitment process, as you know it, is useless?
 
 In my daily business as a personnel consultant for creative profiles I figured out that the problem is more the findability.
 That's why I founded ON AND OFFER.","Product Launched","At the moment we are in talks with investors and preparing for growth."
"138",0,"Match Maker Robin","Match Making Mobile App","Prototype Built","Looking for investors"
"139",0,"Tunu","Digitaler Lebensmittelautomat mit künstlicher Intelligenz für deutschen Handel.","Idea","Getting investment to built the first prototype"
"140",0,"Triip.me","Triip Protocol works for both travelers seeking a unique experience and the service providers that want to do better than game the SEO to reach them. Triip Protocol seeks to disrupt this information network through a blockchain-based system that: 1) Rewards travelers who share proof-of-travel with access to tailor-made experiences payable with TriipMiles. 2) Offers restaurants, hotels and tourism boards access to live, up-to-date information on traveler movements payable in TriipMiles or fiat. 3) Offers unprecedented privacy through a consent-based, decentralized network.","Prototype Built","SERIES A"
"141",0,"ALLVR GmbH","SaaS Construction Collaboration platform for effiecient collaboration management within construction planning teams.","Prototype Built","Seed round: 750K"
"142",0,"Movacar","Movacar is the first B2C car rental aggregator focused on finding great deals on rental cars for customers while delivering significant value add to rental car vendors at the same time. Our first product has launched and is focused on matchmaking customers seeking a great travel deal from A to B with fleet logistic movements needed by car rental vendors.","Product Launched","We are looking for a seed investor"
"147",0,"TechHeaven","TechHeaven aimed to build the bridge between people and avatars. We work on the artificial avatars that can behave like the real human","Prototype Built","On this stage we looking both for the new geography location and for the first round of the investment"
"148",0,"ZERO E-mobility","Free floating e-scooter sharing","Prototype Built","early stage funding"
"149",0,"Movacar","Matchmaking vehicle transfers to end customers to save logistic cost for the car rental industry.","Prototype Built","Seeking 500k seed invest"
"150",0,"PayPeanuts","We are leveraging loyalty to save the monetisation of content challenge. We have signed our first customers Finnair and A-Lehdet (leading publisher in Finland). We have funding from Google DNI. The site just went from pre-production into production.","Prototype Built","Networking"
"151",0,"TechHeaven","We build artificial avatars that can be used in the different service fields","Prototype Built","need founds to create MVP"
"155",0,"EcoG","EcoG is the software for electric vehicle (EV) charging stations. It is the hardware independent IoT PaaS for value-added services enabling the monetization beyond power. EcoG is like “Android for chargers”. With only 14 months in operations, they are targeting a revenue of 750.000 USD in 2018, and has already 4 MRR customers on their platform.","Product Launched","We are looking for investors for the upcoming first investment round."
"157",0,"Alpha Institute Berlin","Innovativ Language Training","Product Launched","Investors"
